epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1207.29,0.66529,0.26363,0.01234,0.99483,0.99552,0.99428,0.89273,0.53985,0.15927,0.01454,0.0007526,0.0007526,0.0007526
65,1222.69,0.66796,0.25647,0.01195,0.99106,0.99379,0.99441,0.91013,0.48389,0.15877,0.01255,0.0007328,0.0007328,0.0007328
66,1238.09,0.64023,0.24595,0.01142,0.95621,0.97926,0.99257,0.91885,0.45522,0.19474,0.01138,0.000713,0.000713,0.000713
67,1253.6,0.64439,0.24219,0.01116,0.99532,0.99552,0.9946,0.9285,0.43151,0.13027,0.01083,0.0006932,0.0006932,0.0006932
68,1269.42,0.63556,0.242,0.01128,0.9822,0.98954,0.994,0.9268,0.44548,0.14822,0.01145,0.0006734,0.0006734,0.0006734
69,1285.02,0.63977,0.23489,0.01157,0.98757,0.99552,0.99391,0.91723,0.4568,0.14555,0.01151,0.0006536,0.0006536,0.0006536
70,1300.44,0.63802,0.24147,0.01171,0.99447,0.99552,0.99415,0.89431,0.49894,0.15391,0.01355,0.0006338,0.0006338,0.0006338
71,1315.86,0.60121,0.22888,0.01079,0.99038,0.99103,0.9945,0.91218,0.48258,0.1536,0.01271,0.000614,0.000614,0.000614
72,1331.21,0.63023,0.2454,0.01134,0.9955,0.99213,0.99419,0.93296,0.43505,0.14237,0.01072,0.0005942,0.0005942,0.0005942
73,1346.69,0.61052,0.22011,0.01073,0.99489,0.99103,0.99446,0.90868,0.45573,0.14095,0.01205,0.0005744,0.0005744,0.0005744
74,1362.07,0.58178,0.21926,0.00996,0.98672,0.9995,0.99441,0.91879,0.45992,0.14345,0.01203,0.0005546,0.0005546,0.0005546
75,1377.51,0.58926,0.23247,0.01041,0.98571,0.98655,0.99382,0.93571,0.40117,0.15402,0.00974,0.0005348,0.0005348,0.0005348
76,1393.4,0.59751,0.22679,0.01076,0.99547,0.9861,0.99432,0.93205,0.42246,0.13674,0.01064,0.000515,0.000515,0.000515
77,1408.92,0.59721,0.23286,0.01058,0.98129,1,0.99432,0.93606,0.40457,0.13929,0.01003,0.0004952,0.0004952,0.0004952
78,1424.33,0.58175,0.22291,0.0101,0.99065,1,0.99446,0.91456,0.46642,0.14113,0.01223,0.0004754,0.0004754,0.0004754
79,1439.78,0.5963,0.22325,0.01038,0.99549,0.99001,0.99459,0.93491,0.41696,0.14148,0.01021,0.0004556,0.0004556,0.0004556
80,1455.09,0.57815,0.21934,0.0103,0.98575,1,0.99419,0.93125,0.42088,0.13485,0.01088,0.0004358,0.0004358,0.0004358
81,1470.3,0.57432,0.2182,0.01002,0.99553,0.99962,0.99415,0.93998,0.39225,0.12442,0.0096,0.000416,0.000416,0.000416
82,1485.67,0.56013,0.22425,0.00993,0.99549,0.99064,0.99441,0.92135,0.44954,0.1423,0.01168,0.0003962,0.0003962,0.0003962
83,1501.41,0.56264,0.21797,0.00971,0.99553,0.99782,0.99451,0.93875,0.41919,0.13061,0.01039,0.0003764,0.0003764,0.0003764
84,1517.29,0.54756,0.21728,0.00973,0.98832,0.99552,0.99427,0.93055,0.43064,0.14151,0.01109,0.0003566,0.0003566,0.0003566
85,1532.87,0.54985,0.21701,0.0095,0.99509,1,0.99455,0.93696,0.40742,0.12419,0.01023,0.0003368,0.0003368,0.0003368
86,1548.36,0.54037,0.20549,0.00929,0.99533,0.99552,0.99464,0.94476,0.39234,0.12256,0.00969,0.000317,0.000317,0.000317
87,1563.73,0.55082,0.21219,0.00962,0.98975,1,0.99459,0.92674,0.4316,0.13407,0.01123,0.0002972,0.0002972,0.0002972
